home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 246, 247, 241, 242, 1.00, 1.00
1, 1, 2, 256, 258, 253, 255, 1.01, 1.01
1, 1, 3, 121, 123, 121, 123, 1.02, 1.02
1, 1, 4, 30, 30, 30, 30, 1.00, 1.00
1, 1, 5, 4, 4, 4, 4, 1.00, 1.00
1, 1, 6, 4, 6, 5, 7, 1.50, 1.40
1, 2, 1, 98, 98, 96, 96, 1.00, 1.00
1, 2, 2, 243, 251, 243, 251, 1.03, 1.03
1, 2, 3, 284, 294, 282, 291, 1.04, 1.03
1, 2, 4, 140, 143, 140, 143, 1.02, 1.02
1, 2, 5, 44, 45, 43, 44, 1.02, 1.02
1, 2, 6, 11, 11, 10, 10, 1.00, 1.00
2, 1, 1, 309, 347, 302, 343, 1.12, 1.14
2, 1, 2, 401, 452, 400, 452, 1.13, 1.13
2, 1, 3, 271, 299, 269, 297, 1.10, 1.10
2, 1, 4, 101, 115, 99, 113, 1.14, 1.14
2, 1, 5, 23, 28, 23, 28, 1.22, 1.22
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 340, 398, 336, 393, 1.17, 1.17
2, 2, 2, 744, 853, 735, 848, 1.15, 1.15
2, 2, 3, 1094, 1253, 1090, 1255, 1.15, 1.15
2, 2, 4, 936, 1078, 928, 1068, 1.15, 1.15
2, 2, 5, 405, 478, 400, 475, 1.18, 1.19
2, 2, 6, 93, 112, 93, 113, 1.20, 1.22
3, 1, 1, 189, 217, 190, 216, 1.15, 1.14
3, 1, 2, 320, 372, 324, 379, 1.16, 1.17
3, 1, 3, 355, 413, 358, 414, 1.16, 1.16
3, 1, 4, 187, 226, 183, 222, 1.21, 1.21
3, 1, 5, 37, 43, 37, 43, 1.16, 1.16
3, 1, 6, 4, 5, 4, 5, 1.25, 1.25
3, 2, 1, 302, 351, 304, 353, 1.16, 1.16
3, 2, 2, 1196, 1395, 1191, 1395, 1.17, 1.17
3, 2, 3, 2412, 2835, 2401, 2827, 1.18, 1.18
3, 2, 4, 2819, 3369, 2814, 3365, 1.20, 1.20
3, 2, 5, 1305, 1610, 1304, 1603, 1.23, 1.23
3, 2, 6, 188, 236, 182, 229, 1.26, 1.26
4, 1, 1, 82, 100, 82, 100, 1.22, 1.22
4, 1, 2, 313, 350, 317, 356, 1.12, 1.12
4, 1, 3, 398, 468, 396, 466, 1.18, 1.18
4, 1, 4, 244, 301, 245, 301, 1.23, 1.23
4, 1, 5, 48, 62, 49, 63, 1.29, 1.29
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 226, 276, 225, 277, 1.22, 1.23
4, 2, 2, 1293, 1573, 1287, 1571, 1.22, 1.22
4, 2, 3, 3558, 4300, 3556, 4309, 1.21, 1.21
4, 2, 4, 5506, 6714, 5512, 6731, 1.22, 1.22
4, 2, 5, 2700, 3431, 2689, 3429, 1.27, 1.28
4, 2, 6, 306, 402, 305, 400, 1.31, 1.31
5, 1, 1, 18, 20, 19, 21, 1.11, 1.11
5, 1, 2, 66, 80, 66, 79, 1.21, 1.20
5, 1, 3, 85, 101, 84, 100, 1.19, 1.19
5, 1, 4, 57, 68, 56, 68, 1.19, 1.21
5, 1, 5, 15, 23, 16, 24, 1.53, 1.50
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 62, 73, 60, 71, 1.18, 1.18
5, 2, 2, 331, 414, 325, 409, 1.25, 1.26
5, 2, 3, 838, 1064, 841, 1064, 1.27, 1.27
5, 2, 4, 1324, 1667, 1322, 1665, 1.26, 1.26
5, 2, 5, 675, 898, 676, 900, 1.33, 1.33
5, 2, 6, 85, 130, 83, 126, 1.53, 1.52
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 7, 8, 8, 9, 1.14, 1.12
6, 1, 3, 5, 6, 5, 6, 1.20, 1.20
6, 1, 4, 7, 11, 7, 11, 1.57, 1.57
6, 1, 5, 0, 0, 0, 0, 0.00, 0.00
6, 1, 6, 0, 0, 0, 0, 0.00, 0.00
6, 2, 1, 6, 10, 6, 10, 1.67, 1.67
6, 2, 2, 36, 47, 37, 48, 1.31, 1.30
6, 2, 3, 122, 159, 123, 158, 1.30, 1.28
6, 2, 4, 185, 239, 183, 234, 1.29, 1.28
6, 2, 5, 110, 151, 108, 147, 1.37, 1.36
6, 2, 6, 19, 32, 19, 32, 1.68, 1.68
