home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 326, 329, 325, 328, 1.01, 1.01
1, 1, 2, 365, 369, 362, 366, 1.01, 1.01
1, 1, 3, 166, 171, 164, 168, 1.03, 1.02
1, 1, 4, 42, 44, 42, 44, 1.05, 1.05
1, 1, 5, 6, 6, 6, 6, 1.00, 1.00
1, 1, 6, 5, 7, 6, 8, 1.40, 1.33
1, 2, 1, 172, 173, 169, 170, 1.01, 1.01
1, 2, 2, 406, 416, 410, 420, 1.02, 1.02
1, 2, 3, 490, 505, 486, 500, 1.03, 1.03
1, 2, 4, 244, 249, 244, 249, 1.02, 1.02
1, 2, 5, 73, 74, 71, 72, 1.01, 1.01
1, 2, 6, 15, 15, 14, 14, 1.00, 1.00
2, 1, 1, 396, 458, 388, 453, 1.16, 1.17
2, 1, 2, 537, 625, 538, 629, 1.16, 1.17
2, 1, 3, 364, 407, 361, 404, 1.12, 1.12
2, 1, 4, 135, 155, 134, 154, 1.15, 1.15
2, 1, 5, 30, 38, 30, 38, 1.27, 1.27
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 475, 568, 472, 565, 1.20, 1.20
2, 2, 2, 1106, 1283, 1101, 1283, 1.16, 1.17
2, 2, 3, 1687, 1961, 1684, 1964, 1.16, 1.17
2, 2, 4, 1421, 1690, 1414, 1683, 1.19, 1.19
2, 2, 5, 558, 665, 554, 663, 1.19, 1.20
2, 2, 6, 127, 157, 125, 154, 1.24, 1.23
3, 1, 1, 231, 277, 231, 274, 1.20, 1.19
3, 1, 2, 431, 515, 433, 519, 1.19, 1.20
3, 1, 3, 469, 562, 474, 567, 1.20, 1.20
3, 1, 4, 261, 325, 258, 325, 1.25, 1.26
3, 1, 5, 50, 62, 50, 62, 1.24, 1.24
3, 1, 6, 7, 8, 7, 8, 1.14, 1.14
3, 2, 1, 433, 518, 435, 521, 1.20, 1.20
3, 2, 2, 1710, 2059, 1703, 2054, 1.20, 1.21
3, 2, 3, 3561, 4287, 3550, 4278, 1.20, 1.21
3, 2, 4, 4142, 5080, 4115, 5056, 1.23, 1.23
3, 2, 5, 1870, 2380, 1862, 2369, 1.27, 1.27
3, 2, 6, 228, 288, 223, 282, 1.26, 1.26
4, 1, 1, 106, 128, 105, 127, 1.21, 1.21
4, 1, 2, 386, 454, 388, 458, 1.18, 1.18
4, 1, 3, 499, 607, 498, 606, 1.22, 1.22
4, 1, 4, 331, 416, 330, 414, 1.26, 1.25
4, 1, 5, 64, 87, 65, 89, 1.36, 1.37
4, 1, 6, 8, 9, 8, 9, 1.12, 1.12
4, 2, 1, 335, 414, 335, 416, 1.24, 1.24
4, 2, 2, 1894, 2386, 1885, 2379, 1.26, 1.26
4, 2, 3, 5273, 6578, 5273, 6587, 1.25, 1.25
4, 2, 4, 8306, 10381, 8305, 10398, 1.25, 1.25
4, 2, 5, 3955, 5193, 3939, 5187, 1.31, 1.32
4, 2, 6, 409, 561, 406, 557, 1.37, 1.37
5, 1, 1, 21, 23, 22, 24, 1.10, 1.09
5, 1, 2, 86, 114, 86, 113, 1.33, 1.31
5, 1, 3, 100, 121, 99, 120, 1.21, 1.21
5, 1, 4, 79, 100, 78, 100, 1.27, 1.28
5, 1, 5, 17, 25, 18, 26, 1.47, 1.44
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 98, 127, 96, 126, 1.30, 1.31
5, 2, 2, 483, 612, 478, 611, 1.27, 1.28
5, 2, 3, 1251, 1605, 1254, 1606, 1.28, 1.28
5, 2, 4, 1943, 2535, 1940, 2530, 1.30, 1.30
5, 2, 5, 977, 1352, 975, 1349, 1.38, 1.38
5, 2, 6, 111, 175, 109, 171, 1.58, 1.57
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 10, 12, 11, 13, 1.20, 1.18
6, 1, 3, 8, 9, 8, 9, 1.12, 1.12
6, 1, 4, 9, 15, 9, 15, 1.67, 1.67
6, 1, 5, 4, 4, 4, 6, 1.00, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 9, 14, 9, 14, 1.56, 1.56
6, 2, 2, 57, 80, 57, 80, 1.40, 1.40
6, 2, 3, 180, 237, 181, 236, 1.32, 1.30
6, 2, 4, 279, 377, 276, 372, 1.35, 1.35
6, 2, 5, 169, 239, 167, 235, 1.41, 1.41
6, 2, 6, 32, 61, 32, 61, 1.91, 1.91
