home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 334, 338, 333, 337, 1.01, 1.01
1, 1, 2, 372, 376, 370, 374, 1.01, 1.01
1, 1, 3, 171, 176, 168, 172, 1.03, 1.02
1, 1, 4, 41, 43, 42, 44, 1.05, 1.05
1, 1, 5, 8, 8, 8, 8, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 189, 191, 187, 189, 1.01, 1.01
1, 2, 2, 441, 451, 443, 453, 1.02, 1.02
1, 2, 3, 526, 539, 526, 538, 1.02, 1.02
1, 2, 4, 256, 260, 258, 262, 1.02, 1.02
1, 2, 5, 75, 75, 74, 74, 1.00, 1.00
1, 2, 6, 15, 15, 14, 14, 1.00, 1.00
2, 1, 1, 411, 478, 400, 470, 1.16, 1.18
2, 1, 2, 537, 622, 538, 623, 1.16, 1.16
2, 1, 3, 361, 403, 356, 399, 1.12, 1.12
2, 1, 4, 139, 159, 137, 157, 1.14, 1.15
2, 1, 5, 27, 34, 27, 34, 1.26, 1.26
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 473, 569, 468, 564, 1.20, 1.21
2, 2, 2, 1129, 1304, 1121, 1301, 1.16, 1.16
2, 2, 3, 1746, 2034, 1739, 2031, 1.16, 1.17
2, 2, 4, 1453, 1739, 1444, 1730, 1.20, 1.20
2, 2, 5, 567, 670, 567, 675, 1.18, 1.19
2, 2, 6, 120, 144, 118, 141, 1.20, 1.19
3, 1, 1, 224, 272, 223, 268, 1.21, 1.20
3, 1, 2, 428, 511, 430, 516, 1.19, 1.20
3, 1, 3, 457, 550, 459, 549, 1.20, 1.20
3, 1, 4, 267, 338, 266, 338, 1.27, 1.27
3, 1, 5, 48, 62, 48, 62, 1.29, 1.29
3, 1, 6, 6, 6, 6, 6, 1.00, 1.00
3, 2, 1, 449, 535, 450, 537, 1.19, 1.19
3, 2, 2, 1712, 2046, 1704, 2041, 1.20, 1.20
3, 2, 3, 3594, 4311, 3580, 4299, 1.20, 1.20
3, 2, 4, 4135, 5081, 4109, 5065, 1.23, 1.23
3, 2, 5, 1853, 2370, 1846, 2361, 1.28, 1.28
3, 2, 6, 216, 270, 212, 265, 1.25, 1.25
4, 1, 1, 100, 123, 100, 122, 1.23, 1.22
4, 1, 2, 374, 441, 375, 444, 1.18, 1.18
4, 1, 3, 483, 591, 481, 589, 1.22, 1.22
4, 1, 4, 318, 391, 316, 388, 1.23, 1.23
4, 1, 5, 63, 85, 62, 85, 1.35, 1.37
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 338, 414, 339, 418, 1.22, 1.23
4, 2, 2, 1914, 2379, 1904, 2367, 1.24, 1.24
4, 2, 3, 5315, 6637, 5317, 6653, 1.25, 1.25
4, 2, 4, 8302, 10387, 8292, 10402, 1.25, 1.25
4, 2, 5, 3884, 5085, 3867, 5069, 1.31, 1.31
4, 2, 6, 395, 545, 394, 546, 1.38, 1.39
5, 1, 1, 19, 21, 20, 22, 1.11, 1.10
5, 1, 2, 84, 112, 84, 111, 1.33, 1.32
5, 1, 3, 98, 117, 99, 117, 1.19, 1.18
5, 1, 4, 80, 107, 80, 108, 1.34, 1.35
5, 1, 5, 14, 19, 15, 20, 1.36, 1.33
5, 1, 6, 2, 2, 2, 2, 1.00, 1.00
5, 2, 1, 94, 122, 92, 121, 1.30, 1.32
5, 2, 2, 492, 633, 487, 632, 1.29, 1.30
5, 2, 3, 1229, 1552, 1232, 1556, 1.26, 1.26
5, 2, 4, 1927, 2526, 1928, 2532, 1.31, 1.31
5, 2, 5, 951, 1298, 945, 1291, 1.36, 1.37
5, 2, 6, 110, 172, 108, 170, 1.56, 1.57
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 8, 10, 9, 11, 1.25, 1.22
6, 1, 3, 9, 13, 9, 13, 1.44, 1.44
6, 1, 4, 9, 15, 9, 15, 1.67, 1.67
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 10, 8, 10, 1.25, 1.25
6, 2, 2, 58, 77, 58, 77, 1.33, 1.33
6, 2, 3, 170, 225, 172, 226, 1.32, 1.31
6, 2, 4, 275, 374, 272, 368, 1.36, 1.35
6, 2, 5, 171, 238, 170, 235, 1.39, 1.38
6, 2, 6, 32, 58, 32, 58, 1.81, 1.81
