home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 343, 347, 343, 347, 1.01, 1.01
1, 1, 2, 374, 378, 370, 374, 1.01, 1.01
1, 1, 3, 175, 180, 173, 177, 1.03, 1.02
1, 1, 4, 41, 43, 42, 44, 1.05, 1.05
1, 1, 5, 8, 8, 8, 8, 1.00, 1.00
1, 1, 6, 5, 7, 6, 8, 1.40, 1.33
1, 2, 1, 188, 190, 183, 185, 1.01, 1.01
1, 2, 2, 443, 451, 447, 455, 1.02, 1.02
1, 2, 3, 516, 529, 516, 528, 1.03, 1.02
1, 2, 4, 265, 271, 267, 273, 1.02, 1.02
1, 2, 5, 80, 81, 79, 80, 1.01, 1.01
1, 2, 6, 17, 17, 16, 16, 1.00, 1.00
2, 1, 1, 411, 479, 402, 474, 1.17, 1.18
2, 1, 2, 536, 632, 539, 637, 1.18, 1.18
2, 1, 3, 374, 427, 369, 422, 1.14, 1.14
2, 1, 4, 136, 158, 134, 156, 1.16, 1.16
2, 1, 5, 27, 36, 28, 37, 1.33, 1.32
2, 1, 6, 3, 4, 3, 4, 1.33, 1.33
2, 2, 1, 477, 578, 476, 578, 1.21, 1.21
2, 2, 2, 1114, 1293, 1104, 1287, 1.16, 1.17
2, 2, 3, 1752, 2047, 1747, 2047, 1.17, 1.17
2, 2, 4, 1387, 1659, 1379, 1650, 1.20, 1.20
2, 2, 5, 528, 631, 529, 633, 1.20, 1.20
2, 2, 6, 107, 132, 106, 131, 1.23, 1.24
3, 1, 1, 212, 255, 213, 253, 1.20, 1.19
3, 1, 2, 424, 516, 425, 519, 1.22, 1.22
3, 1, 3, 455, 552, 459, 554, 1.21, 1.21
3, 1, 4, 265, 336, 261, 333, 1.27, 1.28
3, 1, 5, 54, 70, 54, 70, 1.30, 1.30
3, 1, 6, 7, 8, 7, 8, 1.14, 1.14
3, 2, 1, 443, 540, 442, 540, 1.22, 1.22
3, 2, 2, 1730, 2103, 1725, 2103, 1.22, 1.22
3, 2, 3, 3614, 4384, 3598, 4369, 1.21, 1.21
3, 2, 4, 4062, 5061, 4043, 5044, 1.25, 1.25
3, 2, 5, 1764, 2296, 1762, 2297, 1.30, 1.30
3, 2, 6, 187, 241, 187, 240, 1.29, 1.28
4, 1, 1, 101, 122, 101, 121, 1.21, 1.20
4, 1, 2, 372, 445, 372, 446, 1.20, 1.20
4, 1, 3, 475, 583, 471, 579, 1.23, 1.23
4, 1, 4, 315, 401, 313, 398, 1.27, 1.27
4, 1, 5, 57, 78, 57, 79, 1.37, 1.39
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 338, 414, 335, 410, 1.22, 1.22
4, 2, 2, 1861, 2357, 1849, 2347, 1.27, 1.27
4, 2, 3, 5284, 6669, 5266, 6661, 1.26, 1.26
4, 2, 4, 8271, 10468, 8269, 10486, 1.27, 1.27
4, 2, 5, 3706, 4990, 3705, 4992, 1.35, 1.35
4, 2, 6, 354, 501, 355, 503, 1.42, 1.42
5, 1, 1, 20, 22, 21, 23, 1.10, 1.10
5, 1, 2, 82, 110, 82, 109, 1.34, 1.33
5, 1, 3, 98, 120, 96, 118, 1.22, 1.23
5, 1, 4, 75, 100, 75, 101, 1.33, 1.35
5, 1, 5, 17, 25, 17, 25, 1.47, 1.47
5, 1, 6, 3, 3, 3, 3, 1.00, 1.00
5, 2, 1, 89, 113, 87, 112, 1.27, 1.29
5, 2, 2, 480, 617, 475, 616, 1.29, 1.30
5, 2, 3, 1251, 1620, 1251, 1617, 1.29, 1.29
5, 2, 4, 1928, 2561, 1924, 2560, 1.33, 1.33
5, 2, 5, 931, 1313, 934, 1315, 1.41, 1.41
5, 2, 6, 105, 162, 104, 162, 1.54, 1.56
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 8, 10, 9, 11, 1.25, 1.22
6, 1, 3, 7, 10, 7, 10, 1.43, 1.43
6, 1, 4, 10, 16, 10, 16, 1.60, 1.60
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 12, 8, 12, 1.50, 1.50
6, 2, 2, 60, 84, 60, 83, 1.40, 1.38
6, 2, 3, 172, 232, 172, 230, 1.35, 1.34
6, 2, 4, 278, 386, 274, 378, 1.39, 1.38
6, 2, 5, 165, 233, 164, 230, 1.41, 1.40
6, 2, 6, 30, 58, 30, 58, 1.93, 1.93
