home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 347, 351, 343, 347, 1.01, 1.01
1, 1, 2, 378, 380, 376, 378, 1.01, 1.01
1, 1, 3, 183, 187, 181, 185, 1.02, 1.02
1, 1, 4, 44, 44, 45, 45, 1.00, 1.00
1, 1, 5, 7, 7, 7, 7, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 159, 161, 156, 158, 1.01, 1.01
1, 2, 2, 415, 425, 417, 427, 1.02, 1.02
1, 2, 3, 464, 476, 463, 474, 1.03, 1.02
1, 2, 4, 238, 243, 239, 244, 1.02, 1.02
1, 2, 5, 69, 70, 68, 69, 1.01, 1.01
1, 2, 6, 18, 18, 17, 17, 1.00, 1.00
2, 1, 1, 428, 499, 419, 493, 1.17, 1.18
2, 1, 2, 556, 643, 556, 644, 1.16, 1.16
2, 1, 3, 379, 428, 376, 425, 1.13, 1.13
2, 1, 4, 145, 167, 143, 165, 1.15, 1.15
2, 1, 5, 30, 38, 30, 38, 1.27, 1.27
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 465, 560, 461, 555, 1.20, 1.20
2, 2, 2, 1097, 1263, 1089, 1260, 1.15, 1.16
2, 2, 3, 1692, 1968, 1685, 1967, 1.16, 1.17
2, 2, 4, 1373, 1627, 1366, 1619, 1.18, 1.19
2, 2, 5, 561, 665, 558, 664, 1.19, 1.19
2, 2, 6, 116, 142, 115, 141, 1.22, 1.23
3, 1, 1, 237, 287, 237, 284, 1.21, 1.20
3, 1, 2, 449, 537, 452, 542, 1.20, 1.20
3, 1, 3, 479, 573, 482, 573, 1.20, 1.19
3, 1, 4, 278, 350, 274, 347, 1.26, 1.27
3, 1, 5, 53, 65, 53, 65, 1.23, 1.23
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 433, 520, 434, 521, 1.20, 1.20
3, 2, 2, 1726, 2068, 1717, 2062, 1.20, 1.20
3, 2, 3, 3599, 4325, 3587, 4315, 1.20, 1.20
3, 2, 4, 4169, 5146, 4153, 5131, 1.23, 1.24
3, 2, 5, 1847, 2376, 1843, 2368, 1.29, 1.28
3, 2, 6, 225, 289, 220, 283, 1.28, 1.29
4, 1, 1, 112, 139, 112, 138, 1.24, 1.23
4, 1, 2, 398, 467, 400, 471, 1.17, 1.18
4, 1, 3, 515, 629, 513, 627, 1.22, 1.22
4, 1, 4, 328, 415, 327, 413, 1.27, 1.26
4, 1, 5, 67, 90, 67, 90, 1.34, 1.34
4, 1, 6, 8, 9, 8, 9, 1.12, 1.12
4, 2, 1, 335, 416, 335, 418, 1.24, 1.25
4, 2, 2, 1895, 2361, 1886, 2353, 1.25, 1.25
4, 2, 3, 5326, 6664, 5324, 6671, 1.25, 1.25
4, 2, 4, 8220, 10360, 8223, 10376, 1.26, 1.26
4, 2, 5, 3880, 5133, 3873, 5133, 1.32, 1.33
4, 2, 6, 394, 540, 393, 539, 1.37, 1.37
5, 1, 1, 21, 23, 22, 24, 1.10, 1.09
5, 1, 2, 82, 105, 82, 104, 1.28, 1.27
5, 1, 3, 105, 127, 104, 126, 1.21, 1.21
5, 1, 4, 76, 101, 76, 102, 1.33, 1.34
5, 1, 5, 17, 25, 18, 26, 1.47, 1.44
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 84, 104, 82, 102, 1.24, 1.24
5, 2, 2, 478, 603, 472, 598, 1.26, 1.27
5, 2, 3, 1232, 1613, 1236, 1615, 1.31, 1.31
5, 2, 4, 1892, 2490, 1891, 2491, 1.32, 1.32
5, 2, 5, 942, 1309, 941, 1307, 1.39, 1.39
5, 2, 6, 107, 165, 105, 163, 1.54, 1.55
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 10, 12, 11, 13, 1.20, 1.18
6, 1, 3, 8, 12, 8, 12, 1.50, 1.50
6, 1, 4, 10, 16, 10, 16, 1.60, 1.60
6, 1, 5, 3, 5, 3, 5, 1.67, 1.67
6, 1, 6, 0, 0, 0, 0, 0.00, 0.00
6, 2, 1, 8, 13, 8, 13, 1.62, 1.62
6, 2, 2, 52, 72, 53, 73, 1.38, 1.38
6, 2, 3, 164, 219, 165, 218, 1.34, 1.32
6, 2, 4, 260, 360, 259, 355, 1.38, 1.37
6, 2, 5, 158, 221, 157, 218, 1.40, 1.39
6, 2, 6, 27, 48, 27, 48, 1.78, 1.78
