home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 330, 334, 328, 332, 1.01, 1.01
1, 1, 2, 361, 365, 359, 363, 1.01, 1.01
1, 1, 3, 178, 183, 176, 180, 1.03, 1.02
1, 1, 4, 42, 44, 42, 44, 1.05, 1.05
1, 1, 5, 7, 7, 7, 7, 1.00, 1.00
1, 1, 6, 4, 4, 4, 4, 1.00, 1.00
1, 2, 1, 174, 176, 171, 173, 1.01, 1.01
1, 2, 2, 435, 443, 437, 445, 1.02, 1.02
1, 2, 3, 522, 537, 521, 535, 1.03, 1.03
1, 2, 4, 265, 271, 266, 272, 1.02, 1.02
1, 2, 5, 79, 80, 78, 79, 1.01, 1.01
1, 2, 6, 18, 18, 17, 17, 1.00, 1.00
2, 1, 1, 380, 446, 375, 444, 1.17, 1.18
2, 1, 2, 517, 606, 515, 604, 1.17, 1.17
2, 1, 3, 339, 388, 336, 385, 1.14, 1.15
2, 1, 4, 136, 155, 135, 154, 1.14, 1.14
2, 1, 5, 26, 33, 26, 33, 1.27, 1.27
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 458, 554, 457, 553, 1.21, 1.21
2, 2, 2, 1070, 1242, 1064, 1239, 1.16, 1.16
2, 2, 3, 1704, 1995, 1703, 2001, 1.17, 1.17
2, 2, 4, 1407, 1689, 1400, 1683, 1.20, 1.20
2, 2, 5, 575, 692, 572, 691, 1.20, 1.21
2, 2, 6, 125, 155, 124, 154, 1.24, 1.24
3, 1, 1, 204, 255, 202, 251, 1.25, 1.24
3, 1, 2, 412, 501, 414, 505, 1.22, 1.22
3, 1, 3, 429, 529, 431, 529, 1.23, 1.23
3, 1, 4, 257, 329, 255, 328, 1.28, 1.29
3, 1, 5, 50, 66, 50, 66, 1.32, 1.32
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 426, 513, 426, 514, 1.20, 1.21
3, 2, 2, 1653, 2015, 1649, 2012, 1.22, 1.22
3, 2, 3, 3469, 4228, 3455, 4217, 1.22, 1.22
3, 2, 4, 4160, 5178, 4144, 5166, 1.24, 1.25
3, 2, 5, 1890, 2450, 1887, 2441, 1.30, 1.29
3, 2, 6, 218, 280, 216, 277, 1.28, 1.28
4, 1, 1, 96, 120, 96, 119, 1.25, 1.24
4, 1, 2, 345, 418, 346, 421, 1.21, 1.22
4, 1, 3, 435, 540, 435, 540, 1.24, 1.24
4, 1, 4, 286, 369, 286, 369, 1.29, 1.29
4, 1, 5, 62, 85, 62, 86, 1.37, 1.39
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 318, 393, 318, 395, 1.24, 1.24
4, 2, 2, 1808, 2302, 1800, 2292, 1.27, 1.27
4, 2, 3, 5171, 6536, 5171, 6542, 1.26, 1.27
4, 2, 4, 8389, 10648, 8382, 10651, 1.27, 1.27
4, 2, 5, 3966, 5301, 3950, 5293, 1.34, 1.34
4, 2, 6, 392, 554, 392, 554, 1.41, 1.41
5, 1, 1, 17, 18, 18, 19, 1.06, 1.06
5, 1, 2, 76, 101, 76, 101, 1.33, 1.33
5, 1, 3, 89, 108, 88, 108, 1.21, 1.23
5, 1, 4, 69, 95, 70, 97, 1.38, 1.39
5, 1, 5, 15, 22, 16, 23, 1.47, 1.44
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 96, 126, 94, 125, 1.31, 1.33
5, 2, 2, 464, 599, 464, 603, 1.29, 1.30
5, 2, 3, 1211, 1580, 1213, 1581, 1.30, 1.30
5, 2, 4, 1937, 2582, 1931, 2574, 1.33, 1.33
5, 2, 5, 936, 1327, 930, 1319, 1.42, 1.42
5, 2, 6, 107, 163, 106, 163, 1.52, 1.54
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 10, 12, 11, 13, 1.20, 1.18
6, 1, 3, 9, 13, 9, 13, 1.44, 1.44
6, 1, 4, 9, 14, 9, 14, 1.56, 1.56
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 13, 8, 13, 1.62, 1.62
6, 2, 2, 53, 76, 54, 77, 1.43, 1.43
6, 2, 3, 157, 218, 157, 216, 1.39, 1.38
6, 2, 4, 262, 374, 260, 368, 1.43, 1.42
6, 2, 5, 161, 230, 160, 228, 1.43, 1.43
6, 2, 6, 31, 58, 31, 58, 1.87, 1.87
