home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 322, 326, 322, 326, 1.01, 1.01
1, 1, 2, 375, 379, 374, 378, 1.01, 1.01
1, 1, 3, 178, 183, 177, 181, 1.03, 1.02
1, 1, 4, 44, 46, 44, 46, 1.05, 1.05
1, 1, 5, 8, 8, 8, 8, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 177, 179, 174, 176, 1.01, 1.01
1, 2, 2, 429, 438, 432, 441, 1.02, 1.02
1, 2, 3, 531, 543, 530, 542, 1.02, 1.02
1, 2, 4, 263, 269, 264, 270, 1.02, 1.02
1, 2, 5, 78, 79, 78, 79, 1.01, 1.01
1, 2, 6, 18, 18, 18, 18, 1.00, 1.00
2, 1, 1, 390, 457, 384, 454, 1.17, 1.18
2, 1, 2, 522, 615, 523, 617, 1.18, 1.18
2, 1, 3, 354, 402, 351, 400, 1.14, 1.14
2, 1, 4, 140, 162, 138, 160, 1.16, 1.16
2, 1, 5, 30, 39, 30, 39, 1.30, 1.30
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 467, 570, 465, 568, 1.22, 1.22
2, 2, 2, 1096, 1264, 1091, 1263, 1.15, 1.16
2, 2, 3, 1704, 1990, 1700, 1993, 1.17, 1.17
2, 2, 4, 1425, 1709, 1421, 1705, 1.20, 1.20
2, 2, 5, 584, 691, 581, 689, 1.18, 1.19
2, 2, 6, 116, 144, 115, 143, 1.24, 1.24
3, 1, 1, 204, 252, 205, 251, 1.24, 1.22
3, 1, 2, 410, 493, 411, 496, 1.20, 1.21
3, 1, 3, 448, 542, 448, 539, 1.21, 1.20
3, 1, 4, 255, 328, 253, 327, 1.29, 1.29
3, 1, 5, 49, 63, 49, 63, 1.29, 1.29
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 437, 530, 438, 532, 1.21, 1.21
3, 2, 2, 1681, 2036, 1673, 2029, 1.21, 1.21
3, 2, 3, 3525, 4286, 3515, 4275, 1.22, 1.22
3, 2, 4, 4113, 5121, 4095, 5100, 1.25, 1.25
3, 2, 5, 1844, 2390, 1840, 2384, 1.30, 1.30
3, 2, 6, 214, 275, 210, 271, 1.29, 1.29
4, 1, 1, 106, 130, 105, 128, 1.23, 1.22
4, 1, 2, 349, 417, 350, 420, 1.19, 1.20
4, 1, 3, 462, 569, 461, 569, 1.23, 1.23
4, 1, 4, 311, 396, 308, 392, 1.27, 1.27
4, 1, 5, 63, 87, 63, 88, 1.38, 1.40
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 337, 415, 339, 418, 1.23, 1.23
4, 2, 2, 1837, 2324, 1827, 2310, 1.27, 1.26
4, 2, 3, 5243, 6614, 5254, 6628, 1.26, 1.26
4, 2, 4, 8268, 10484, 8256, 10480, 1.27, 1.27
4, 2, 5, 3948, 5274, 3939, 5267, 1.34, 1.34
4, 2, 6, 394, 552, 392, 550, 1.40, 1.40
5, 1, 1, 19, 21, 20, 22, 1.11, 1.10
5, 1, 2, 77, 103, 77, 102, 1.34, 1.32
5, 1, 3, 95, 115, 94, 114, 1.21, 1.21
5, 1, 4, 72, 99, 72, 99, 1.38, 1.38
5, 1, 5, 14, 22, 15, 23, 1.57, 1.53
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 86, 115, 85, 115, 1.34, 1.35
5, 2, 2, 463, 595, 460, 596, 1.29, 1.30
5, 2, 3, 1214, 1589, 1215, 1586, 1.31, 1.31
5, 2, 4, 1870, 2490, 1872, 2492, 1.33, 1.33
5, 2, 5, 938, 1322, 938, 1322, 1.41, 1.41
5, 2, 6, 112, 174, 111, 173, 1.55, 1.56
6, 1, 1, 2, 3, 1, 2, 1.50, 2.00
6, 1, 2, 9, 11, 10, 12, 1.22, 1.20
6, 1, 3, 7, 11, 7, 11, 1.57, 1.57
6, 1, 4, 8, 13, 8, 13, 1.62, 1.62
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 7, 12, 7, 12, 1.71, 1.71
6, 2, 2, 58, 80, 59, 81, 1.38, 1.37
6, 2, 3, 172, 235, 171, 232, 1.37, 1.36
6, 2, 4, 268, 367, 265, 362, 1.37, 1.37
6, 2, 5, 167, 235, 167, 234, 1.41, 1.40
6, 2, 6, 28, 51, 28, 51, 1.82, 1.82
