home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 212, 213, 207, 208, 1.00, 1.00
1, 1, 2, 218, 220, 216, 218, 1.01, 1.01
1, 1, 3, 100, 102, 99, 101, 1.02, 1.02
1, 1, 4, 26, 26, 26, 26, 1.00, 1.00
1, 1, 5, 4, 4, 4, 4, 1.00, 1.00
1, 1, 6, 4, 6, 5, 7, 1.50, 1.40
1, 2, 1, 91, 91, 90, 90, 1.00, 1.00
1, 2, 2, 207, 215, 206, 214, 1.04, 1.04
1, 2, 3, 242, 250, 241, 248, 1.03, 1.03
1, 2, 4, 113, 114, 114, 115, 1.01, 1.01
1, 2, 5, 34, 34, 33, 33, 1.00, 1.00
1, 2, 6, 7, 7, 6, 6, 1.00, 1.00
2, 1, 1, 272, 304, 263, 297, 1.12, 1.13
2, 1, 2, 351, 388, 351, 388, 1.11, 1.11
2, 1, 3, 234, 251, 230, 248, 1.07, 1.08
2, 1, 4, 88, 100, 86, 98, 1.14, 1.14
2, 1, 5, 18, 21, 18, 21, 1.17, 1.17
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 288, 334, 282, 327, 1.16, 1.16
2, 2, 2, 644, 736, 635, 731, 1.14, 1.15
2, 2, 3, 932, 1061, 925, 1057, 1.14, 1.14
2, 2, 4, 816, 941, 807, 930, 1.15, 1.15
2, 2, 5, 342, 398, 341, 402, 1.16, 1.18
2, 2, 6, 81, 93, 80, 92, 1.15, 1.15
3, 1, 1, 171, 195, 171, 193, 1.14, 1.13
3, 1, 2, 281, 322, 284, 329, 1.15, 1.16
3, 1, 3, 308, 353, 310, 353, 1.15, 1.14
3, 1, 4, 165, 198, 163, 198, 1.20, 1.21
3, 1, 5, 29, 33, 29, 33, 1.14, 1.14
3, 1, 6, 3, 3, 3, 3, 1.00, 1.00
3, 2, 1, 267, 303, 268, 304, 1.13, 1.13
3, 2, 2, 1015, 1155, 1009, 1154, 1.14, 1.14
3, 2, 3, 2059, 2373, 2048, 2365, 1.15, 1.15
3, 2, 4, 2364, 2775, 2352, 2772, 1.17, 1.18
3, 2, 5, 1103, 1334, 1099, 1325, 1.21, 1.21
3, 2, 6, 162, 197, 157, 191, 1.22, 1.22
4, 1, 1, 67, 81, 67, 81, 1.21, 1.21
4, 1, 2, 276, 304, 279, 309, 1.10, 1.11
4, 1, 3, 353, 415, 350, 412, 1.18, 1.18
4, 1, 4, 215, 254, 215, 253, 1.18, 1.18
4, 1, 5, 42, 54, 42, 54, 1.29, 1.29
4, 1, 6, 6, 7, 6, 7, 1.17, 1.17
4, 2, 1, 197, 239, 197, 242, 1.21, 1.23
4, 2, 2, 1139, 1351, 1132, 1346, 1.19, 1.19
4, 2, 3, 3046, 3624, 3046, 3641, 1.19, 1.20
4, 2, 4, 4575, 5459, 4577, 5484, 1.19, 1.20
4, 2, 5, 2227, 2742, 2213, 2731, 1.23, 1.23
4, 2, 6, 261, 336, 260, 336, 1.29, 1.29
5, 1, 1, 15, 17, 16, 18, 1.13, 1.12
5, 1, 2, 60, 73, 60, 72, 1.22, 1.20
5, 1, 3, 74, 86, 75, 86, 1.16, 1.15
5, 1, 4, 54, 65, 53, 65, 1.20, 1.23
5, 1, 5, 12, 17, 13, 18, 1.42, 1.38
5, 1, 6, 2, 2, 2, 2, 1.00, 1.00
5, 2, 1, 54, 63, 52, 61, 1.17, 1.17
5, 2, 2, 296, 373, 290, 368, 1.26, 1.27
5, 2, 3, 699, 848, 703, 853, 1.21, 1.21
5, 2, 4, 1117, 1381, 1117, 1386, 1.24, 1.24
5, 2, 5, 566, 718, 564, 717, 1.27, 1.27
5, 2, 6, 72, 112, 70, 108, 1.56, 1.54
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 5, 6, 6, 7, 1.20, 1.17
6, 1, 3, 5, 6, 5, 6, 1.20, 1.20
6, 1, 4, 6, 10, 6, 10, 1.67, 1.67
6, 1, 5, 0, 0, 0, 0, 0.00, 0.00
6, 1, 6, 0, 0, 0, 0, 0.00, 0.00
6, 2, 1, 5, 6, 5, 6, 1.20, 1.20
6, 2, 2, 31, 37, 31, 37, 1.19, 1.19
6, 2, 3, 103, 130, 105, 131, 1.26, 1.25
6, 2, 4, 158, 196, 156, 192, 1.24, 1.23
6, 2, 5, 97, 130, 95, 126, 1.34, 1.33
6, 2, 6, 17, 27, 17, 27, 1.59, 1.59
