home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 250, 253, 246, 249, 1.01, 1.01
1, 1, 2, 280, 282, 282, 284, 1.01, 1.01
1, 1, 3, 140, 142, 134, 137, 1.01, 1.02
1, 1, 4, 32, 34, 32, 34, 1.06, 1.06
1, 1, 5, 7, 7, 6, 6, 1.00, 1.00
1, 1, 6, 4, 6, 6, 6, 1.50, 1.00
1, 2, 1, 143, 143, 137, 138, 1.00, 1.01
1, 2, 2, 354, 359, 344, 348, 1.01, 1.01
1, 2, 3, 399, 406, 382, 387, 1.02, 1.01
1, 2, 4, 209, 211, 189, 192, 1.01, 1.02
1, 2, 5, 57, 58, 47, 47, 1.02, 1.00
1, 2, 6, 13, 13, 13, 13, 1.00, 1.00
2, 1, 1, 326, 358, 309, 339, 1.10, 1.10
2, 1, 2, 415, 460, 447, 493, 1.11, 1.10
2, 1, 3, 277, 306, 287, 319, 1.10, 1.11
2, 1, 4, 114, 124, 106, 116, 1.09, 1.09
2, 1, 5, 24, 29, 26, 32, 1.21, 1.23
2, 1, 6, 4, 5, 4, 4, 1.25, 1.00
2, 2, 1, 403, 458, 388, 451, 1.14, 1.16
2, 2, 2, 898, 994, 903, 994, 1.11, 1.10
2, 2, 3, 1408, 1561, 1407, 1568, 1.11, 1.11
2, 2, 4, 1169, 1328, 1149, 1311, 1.14, 1.14
2, 2, 5, 466, 529, 455, 520, 1.14, 1.14
2, 2, 6, 94, 107, 101, 117, 1.14, 1.16
3, 1, 1, 181, 203, 183, 213, 1.12, 1.16
3, 1, 2, 346, 388, 343, 388, 1.12, 1.13
3, 1, 3, 380, 428, 379, 435, 1.13, 1.15
3, 1, 4, 218, 263, 211, 254, 1.21, 1.20
3, 1, 5, 41, 51, 43, 50, 1.24, 1.16
3, 1, 6, 5, 5, 5, 6, 1.00, 1.20
3, 2, 1, 363, 417, 363, 411, 1.15, 1.13
3, 2, 2, 1415, 1616, 1438, 1635, 1.14, 1.14
3, 2, 3, 2886, 3320, 2916, 3324, 1.15, 1.14
3, 2, 4, 3440, 4001, 3392, 3941, 1.16, 1.16
3, 2, 5, 1550, 1876, 1544, 1843, 1.21, 1.19
3, 2, 6, 183, 217, 175, 203, 1.19, 1.16
4, 1, 1, 84, 95, 87, 100, 1.13, 1.15
4, 1, 2, 307, 340, 323, 360, 1.11, 1.11
4, 1, 3, 386, 447, 376, 435, 1.16, 1.16
4, 1, 4, 256, 304, 254, 301, 1.19, 1.19
4, 1, 5, 47, 57, 54, 64, 1.21, 1.19
4, 1, 6, 7, 8, 5, 5, 1.14, 1.00
4, 2, 1, 265, 298, 245, 282, 1.12, 1.15
4, 2, 2, 1533, 1801, 1519, 1793, 1.17, 1.18
4, 2, 3, 4360, 5100, 4301, 5087, 1.17, 1.18
4, 2, 4, 6883, 8152, 6955, 8214, 1.18, 1.18
4, 2, 5, 3335, 4081, 3283, 4007, 1.22, 1.22
4, 2, 6, 328, 424, 341, 425, 1.29, 1.25
5, 1, 1, 15, 17, 15, 15, 1.13, 1.00
5, 1, 2, 75, 92, 71, 82, 1.23, 1.15
5, 1, 3, 82, 94, 77, 90, 1.15, 1.17
5, 1, 4, 64, 78, 58, 70, 1.22, 1.21
5, 1, 5, 15, 20, 15, 21, 1.33, 1.40
5, 1, 6, 4, 4, 3, 3, 1.00, 1.00
5, 2, 1, 76, 94, 72, 89, 1.24, 1.24
5, 2, 2, 392, 470, 402, 485, 1.20, 1.21
5, 2, 3, 1048, 1242, 1042, 1250, 1.19, 1.20
5, 2, 4, 1594, 1937, 1611, 1967, 1.22, 1.22
5, 2, 5, 812, 1027, 801, 1011, 1.26, 1.26
5, 2, 6, 102, 139, 97, 131, 1.36, 1.35
6, 1, 1, 3, 4, 1, 2, 1.33, 2.00
6, 1, 2, 6, 6, 8, 8, 1.00, 1.00
6, 1, 3, 8, 11, 8, 11, 1.38, 1.38
6, 1, 4, 9, 10, 7, 12, 1.11, 1.71
6, 1, 5, 1, 2, 3, 5, 2.00, 1.67
6, 1, 6, 1, 1, 1, 2, 1.00, 2.00
6, 2, 1, 8, 9, 7, 10, 1.12, 1.43
6, 2, 2, 45, 64, 47, 56, 1.42, 1.19
6, 2, 3, 142, 175, 141, 177, 1.23, 1.26
6, 2, 4, 218, 274, 224, 279, 1.26, 1.25
6, 2, 5, 141, 184, 140, 174, 1.30, 1.24
6, 2, 6, 29, 43, 30, 49, 1.48, 1.63
