home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 345, 349, 342, 346, 1.01, 1.01
1, 1, 2, 371, 375, 369, 373, 1.01, 1.01
1, 1, 3, 175, 179, 173, 176, 1.02, 1.02
1, 1, 4, 43, 45, 44, 46, 1.05, 1.05
1, 1, 5, 7, 7, 7, 7, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 177, 178, 175, 176, 1.01, 1.01
1, 2, 2, 428, 437, 430, 439, 1.02, 1.02
1, 2, 3, 508, 522, 509, 522, 1.03, 1.03
1, 2, 4, 244, 249, 246, 251, 1.02, 1.02
1, 2, 5, 76, 77, 76, 77, 1.01, 1.01
1, 2, 6, 18, 18, 17, 17, 1.00, 1.00
2, 1, 1, 417, 481, 408, 476, 1.15, 1.17
2, 1, 2, 552, 644, 551, 644, 1.17, 1.17
2, 1, 3, 367, 414, 364, 411, 1.13, 1.13
2, 1, 4, 141, 162, 139, 160, 1.15, 1.15
2, 1, 5, 30, 38, 30, 38, 1.27, 1.27
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 489, 585, 485, 581, 1.20, 1.20
2, 2, 2, 1116, 1289, 1108, 1286, 1.16, 1.16
2, 2, 3, 1713, 1994, 1708, 1996, 1.16, 1.17
2, 2, 4, 1419, 1679, 1410, 1670, 1.18, 1.18
2, 2, 5, 585, 693, 581, 691, 1.18, 1.19
2, 2, 6, 122, 148, 122, 149, 1.21, 1.22
3, 1, 1, 230, 280, 230, 277, 1.22, 1.20
3, 1, 2, 436, 518, 439, 523, 1.19, 1.19
3, 1, 3, 466, 561, 469, 561, 1.20, 1.20
3, 1, 4, 262, 332, 261, 332, 1.27, 1.27
3, 1, 5, 54, 69, 54, 69, 1.28, 1.28
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 456, 548, 457, 550, 1.20, 1.20
3, 2, 2, 1751, 2105, 1744, 2101, 1.20, 1.20
3, 2, 3, 3530, 4254, 3518, 4244, 1.21, 1.21
3, 2, 4, 4110, 5037, 4098, 5027, 1.23, 1.23
3, 2, 5, 1869, 2392, 1868, 2387, 1.28, 1.28
3, 2, 6, 226, 287, 220, 280, 1.27, 1.27
4, 1, 1, 111, 138, 112, 138, 1.24, 1.23
4, 1, 2, 395, 467, 398, 473, 1.18, 1.19
4, 1, 3, 490, 597, 488, 595, 1.22, 1.22
4, 1, 4, 324, 410, 323, 408, 1.27, 1.26
4, 1, 5, 64, 87, 64, 88, 1.36, 1.38
4, 1, 6, 8, 9, 8, 9, 1.12, 1.12
4, 2, 1, 331, 401, 331, 403, 1.21, 1.22
4, 2, 2, 1885, 2366, 1878, 2359, 1.26, 1.26
4, 2, 3, 5219, 6518, 5219, 6526, 1.25, 1.25
4, 2, 4, 8288, 10370, 8280, 10376, 1.25, 1.25
4, 2, 5, 3973, 5203, 3957, 5193, 1.31, 1.31
4, 2, 6, 404, 553, 404, 553, 1.37, 1.37
5, 1, 1, 21, 23, 22, 24, 1.10, 1.09
5, 1, 2, 85, 113, 85, 112, 1.33, 1.32
5, 1, 3, 104, 124, 103, 123, 1.19, 1.19
5, 1, 4, 76, 100, 76, 101, 1.32, 1.33
5, 1, 5, 17, 25, 18, 26, 1.47, 1.44
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 91, 120, 89, 119, 1.32, 1.34
5, 2, 2, 469, 604, 464, 603, 1.29, 1.30
5, 2, 3, 1226, 1573, 1226, 1569, 1.28, 1.28
5, 2, 4, 1916, 2499, 1916, 2498, 1.30, 1.30
5, 2, 5, 966, 1332, 961, 1326, 1.38, 1.38
5, 2, 6, 120, 183, 118, 181, 1.52, 1.53
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 9, 11, 10, 12, 1.22, 1.20
6, 1, 3, 8, 12, 8, 12, 1.50, 1.50
6, 1, 4, 8, 12, 8, 12, 1.50, 1.50
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 12, 8, 12, 1.50, 1.50
6, 2, 2, 57, 74, 58, 75, 1.30, 1.29
6, 2, 3, 171, 229, 172, 228, 1.34, 1.33
6, 2, 4, 273, 368, 270, 361, 1.35, 1.34
6, 2, 5, 162, 227, 161, 224, 1.40, 1.39
6, 2, 6, 29, 50, 29, 50, 1.72, 1.72
