home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 330, 333, 329, 332, 1.01, 1.01
1, 1, 2, 367, 370, 366, 369, 1.01, 1.01
1, 1, 3, 165, 169, 163, 166, 1.02, 1.02
1, 1, 4, 38, 40, 39, 41, 1.05, 1.05
1, 1, 5, 8, 8, 8, 8, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 176, 178, 174, 176, 1.01, 1.01
1, 2, 2, 451, 459, 456, 464, 1.02, 1.02
1, 2, 3, 529, 544, 528, 542, 1.03, 1.03
1, 2, 4, 251, 257, 250, 256, 1.02, 1.02
1, 2, 5, 77, 78, 76, 77, 1.01, 1.01
1, 2, 6, 19, 19, 18, 18, 1.00, 1.00
2, 1, 1, 391, 457, 384, 454, 1.17, 1.18
2, 1, 2, 499, 590, 500, 592, 1.18, 1.18
2, 1, 3, 334, 381, 333, 378, 1.14, 1.14
2, 1, 4, 135, 153, 133, 151, 1.13, 1.14
2, 1, 5, 29, 37, 29, 37, 1.28, 1.28
2, 1, 6, 5, 6, 5, 6, 1.20, 1.20
2, 2, 1, 479, 581, 477, 579, 1.21, 1.21
2, 2, 2, 1132, 1313, 1131, 1317, 1.16, 1.16
2, 2, 3, 1746, 2042, 1742, 2044, 1.17, 1.17
2, 2, 4, 1437, 1716, 1430, 1710, 1.19, 1.20
2, 2, 5, 573, 685, 565, 676, 1.20, 1.20
2, 2, 6, 129, 159, 128, 158, 1.23, 1.23
3, 1, 1, 211, 257, 211, 254, 1.22, 1.20
3, 1, 2, 396, 479, 399, 481, 1.21, 1.21
3, 1, 3, 443, 539, 446, 539, 1.22, 1.21
3, 1, 4, 249, 311, 248, 310, 1.25, 1.25
3, 1, 5, 52, 68, 52, 68, 1.31, 1.31
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 429, 520, 431, 523, 1.21, 1.21
3, 2, 2, 1694, 2066, 1686, 2060, 1.22, 1.22
3, 2, 3, 3527, 4304, 3517, 4296, 1.22, 1.22
3, 2, 4, 4125, 5123, 4112, 5105, 1.24, 1.24
3, 2, 5, 1893, 2447, 1890, 2442, 1.29, 1.29
3, 2, 6, 227, 291, 221, 284, 1.28, 1.29
4, 1, 1, 103, 128, 103, 127, 1.24, 1.23
4, 1, 2, 351, 420, 356, 428, 1.20, 1.20
4, 1, 3, 449, 547, 455, 553, 1.22, 1.22
4, 1, 4, 313, 395, 311, 392, 1.26, 1.26
4, 1, 5, 65, 85, 65, 86, 1.31, 1.32
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 311, 383, 312, 387, 1.23, 1.24
4, 2, 2, 1834, 2320, 1833, 2318, 1.26, 1.26
4, 2, 3, 5081, 6434, 5091, 6442, 1.27, 1.27
4, 2, 4, 8199, 10442, 8195, 10435, 1.27, 1.27
4, 2, 5, 4014, 5327, 4002, 5319, 1.33, 1.33
4, 2, 6, 417, 578, 416, 574, 1.39, 1.38
5, 1, 1, 18, 19, 19, 20, 1.06, 1.05
5, 1, 2, 77, 104, 77, 103, 1.35, 1.34
5, 1, 3, 91, 112, 90, 111, 1.23, 1.23
5, 1, 4, 72, 93, 72, 94, 1.29, 1.31
5, 1, 5, 14, 18, 16, 20, 1.29, 1.25
5, 1, 6, 3, 3, 3, 3, 1.00, 1.00
5, 2, 1, 91, 120, 89, 119, 1.32, 1.34
5, 2, 2, 461, 590, 456, 589, 1.28, 1.29
5, 2, 3, 1222, 1595, 1224, 1591, 1.31, 1.30
5, 2, 4, 1885, 2500, 1885, 2497, 1.33, 1.32
5, 2, 5, 973, 1361, 970, 1357, 1.40, 1.40
5, 2, 6, 112, 175, 110, 173, 1.56, 1.57
6, 1, 1, 2, 2, 1, 1, 1.00, 1.00
6, 1, 2, 9, 10, 9, 10, 1.11, 1.11
6, 1, 3, 9, 13, 9, 13, 1.44, 1.44
6, 1, 4, 9, 15, 9, 15, 1.67, 1.67
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 13, 8, 13, 1.62, 1.62
6, 2, 2, 56, 78, 58, 81, 1.39, 1.40
6, 2, 3, 166, 223, 167, 222, 1.34, 1.33
6, 2, 4, 268, 377, 266, 370, 1.41, 1.39
6, 2, 5, 173, 243, 173, 242, 1.40, 1.40
6, 2, 6, 33, 61, 33, 61, 1.85, 1.85
