home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 309, 313, 306, 310, 1.01, 1.01
1, 1, 2, 350, 353, 350, 353, 1.01, 1.01
1, 1, 3, 164, 168, 162, 165, 1.02, 1.02
1, 1, 4, 34, 36, 37, 39, 1.06, 1.05
1, 1, 5, 5, 5, 5, 5, 1.00, 1.00
1, 1, 6, 5, 7, 6, 8, 1.40, 1.33
1, 2, 1, 174, 176, 173, 175, 1.01, 1.01
1, 2, 2, 420, 429, 422, 431, 1.02, 1.02
1, 2, 3, 500, 512, 499, 510, 1.02, 1.02
1, 2, 4, 258, 263, 259, 264, 1.02, 1.02
1, 2, 5, 77, 78, 76, 77, 1.01, 1.01
1, 2, 6, 16, 16, 15, 15, 1.00, 1.00
2, 1, 1, 396, 462, 387, 457, 1.17, 1.18
2, 1, 2, 510, 599, 507, 597, 1.17, 1.18
2, 1, 3, 355, 406, 356, 407, 1.14, 1.14
2, 1, 4, 125, 142, 124, 141, 1.14, 1.14
2, 1, 5, 30, 39, 29, 38, 1.30, 1.31
2, 1, 6, 4, 6, 4, 6, 1.50, 1.50
2, 2, 1, 456, 548, 453, 545, 1.20, 1.20
2, 2, 2, 1089, 1257, 1086, 1259, 1.15, 1.16
2, 2, 3, 1702, 1995, 1693, 1993, 1.17, 1.18
2, 2, 4, 1393, 1666, 1388, 1662, 1.20, 1.20
2, 2, 5, 548, 653, 542, 649, 1.19, 1.20
2, 2, 6, 102, 132, 102, 132, 1.29, 1.29
3, 1, 1, 208, 256, 208, 253, 1.23, 1.22
3, 1, 2, 412, 494, 417, 500, 1.20, 1.20
3, 1, 3, 437, 535, 441, 536, 1.22, 1.22
3, 1, 4, 254, 328, 251, 326, 1.29, 1.30
3, 1, 5, 46, 60, 46, 60, 1.30, 1.30
3, 1, 6, 7, 8, 7, 8, 1.14, 1.14
3, 2, 1, 418, 509, 420, 512, 1.22, 1.22
3, 2, 2, 1692, 2055, 1688, 2052, 1.21, 1.22
3, 2, 3, 3541, 4290, 3532, 4283, 1.21, 1.21
3, 2, 4, 4126, 5117, 4110, 5104, 1.24, 1.24
3, 2, 5, 1781, 2313, 1777, 2306, 1.30, 1.30
3, 2, 6, 202, 261, 194, 252, 1.29, 1.30
4, 1, 1, 102, 129, 103, 129, 1.26, 1.25
4, 1, 2, 362, 431, 362, 431, 1.19, 1.19
4, 1, 3, 466, 566, 463, 562, 1.21, 1.21
4, 1, 4, 295, 375, 297, 376, 1.27, 1.27
4, 1, 5, 56, 76, 56, 77, 1.36, 1.38
4, 1, 6, 6, 6, 6, 6, 1.00, 1.00
4, 2, 1, 334, 411, 334, 413, 1.23, 1.24
4, 2, 2, 1861, 2352, 1854, 2348, 1.26, 1.27
4, 2, 3, 5310, 6687, 5307, 6691, 1.26, 1.26
4, 2, 4, 8463, 10709, 8456, 10709, 1.27, 1.27
4, 2, 5, 3924, 5236, 3906, 5233, 1.33, 1.34
4, 2, 6, 382, 534, 380, 533, 1.40, 1.40
5, 1, 1, 21, 23, 21, 23, 1.10, 1.10
5, 1, 2, 78, 104, 78, 103, 1.33, 1.32
5, 1, 3, 98, 119, 97, 118, 1.21, 1.22
5, 1, 4, 73, 98, 73, 99, 1.34, 1.36
5, 1, 5, 13, 21, 13, 21, 1.62, 1.62
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 94, 123, 93, 123, 1.31, 1.32
5, 2, 2, 471, 596, 465, 593, 1.27, 1.28
5, 2, 3, 1243, 1608, 1244, 1607, 1.29, 1.29
5, 2, 4, 1934, 2546, 1936, 2546, 1.32, 1.32
5, 2, 5, 956, 1349, 949, 1340, 1.41, 1.41
5, 2, 6, 107, 164, 104, 161, 1.53, 1.55
6, 1, 1, 2, 3, 2, 3, 1.50, 1.50
6, 1, 2, 9, 11, 10, 12, 1.22, 1.20
6, 1, 3, 8, 12, 8, 12, 1.50, 1.50
6, 1, 4, 8, 12, 8, 12, 1.50, 1.50
6, 1, 5, 4, 6, 4, 6, 1.50, 1.50
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 9, 14, 9, 14, 1.56, 1.56
6, 2, 2, 57, 80, 58, 81, 1.40, 1.40
6, 2, 3, 175, 232, 177, 233, 1.33, 1.32
6, 2, 4, 276, 385, 274, 380, 1.39, 1.39
6, 2, 5, 157, 224, 156, 220, 1.43, 1.41
6, 2, 6, 31, 60, 31, 60, 1.94, 1.94
